Vds,Ids (Vg=5.0V),Ids (Vg=7.0V),Ids (Vg=9.0V),Ids (Vg=11.0V),Ids (Vg=13.0V)
-0.02333301,1.3379989499999996,,,,
-0.0196666,,1.42133445,,,
0.09433272,,1.3819974499999998,,,
0.184999705,,1.4113360999999998,,,
0.189333145,1.3586690999999995,,,,
0.19333312,,,1.5573314999999996,,
0.2082914278606965,,,1.5296796019900498,,
0.2169151343283582,,,,,0
0.272999555,,1.404663,,,
0.2868985074626866,,,1.5469288557213932,,
0.3416649,,,1.520002,,
0.3619985,1.36533165,,,,
0.36333185,,1.3773307499999998,,,
0.37399885,,,1.5773325,,
0.4476669,,1.3786672499999997,,,
0.4640003,,,1.5320016499999998,,
0.5545603980099503,,1.4587082587064677,,,
0.5573332,1.3533302499999995,,,,
0.56899965,,,1.6126675,,
0.6620001499999999,,,1.8013365,,
0.6829998,,1.7333305,,,0
0.71166665,,,,1.687335,
0.7206664,,,2.1786635,,
0.7406662,,,2.4113325,,
0.7713331000000001,,2.309333,,,
0.7829997,,,2.790666,,
0.7873965174129354,,,2.8995029850746272,,
0.7926666500000001,1.36533345,,,,
0.8759540298507462,,3.286239800995025,,,
0.9270003999999998,,4.2906695,,,
0.9336665,,,,4.427333999999999,
0.9475950746268657,,,,4.797348258706466,
0.9720042,,,,4.635332,
0.9730023,1.3806644999999995,,,,
0.981096815920398,,,,,6.217571144278607
0.9826692500000002,,,,5.8333325,
1.0016711,,5.2726655,,,
1.0073375,,,7.614676,,
1.0353387500000002,,,,7.804004499999999,
1.0563364000000002,,,,,9.562001
1.0710088000000002,,,,9.060662,
1.0819243781094527,,,,9.749248756218904,
1.1146664999999998,,,,10.2646985,
1.1323359701492537,,,,,12.072955223880596
1.135984577114428,,,,,11.555542288557216
1.1548885572139302,,,,,12.522706467661694
1.15533,1.4013326499999998,,,,
1.1903825870646765,,,,,14.12805970149254
1.25008407960199,,,,,16.273985074626868
1.2960029999999998,,,,16.019965,
1.411001,,,,19.68401,
1.4633537313432836,,8.143947263681591,,,
1.503150248756219,,,20.727701492537317,,
1.5034840796019902,,,,,29.81624378109453
1.5316635000000005,,,,23.635345,
1.5844129353233831,,,,25.85402487562189,
1.652664,,,,,36.597335
1.728653,,,,32.15657,
1.755210945273632,,,,33.6809104477612,
1.7601835820895524,,,,,42.902860696517415
1.7929900000000003,1.3953335999999998,,,,
1.877616915422886,,,,39.15165671641791,
1.9087865671641795,,8.521394029850747,,,
1.9117751243781096,,,,,50.96981592039801
1.9462656716417917,,,,41.69876616915423,
2.0202303482587065,,,,44.48279104477612,
2.0583791044776123,,,,,57.09651741293532
2.0968492537313432,,,34.50417412935323,,
2.117663,,,,47.685985,
2.1930323383084573,,,,,62.81858706467662
2.2878930348258706,,,,52.92799502487562,
2.319732338308458,,,,,67.99401492537314
2.3909985,,,,56.93266,
2.419335,,,,,73.41132499999999
2.430517910447761,,8.538639303482588,,,
2.444337,1.4286714499999995,,,,
2.454003,,,,59.745975,
2.4819258706467657,,,,60.807865671641785,
2.5146665,,,39.14677,,
2.5316711442786075,,,,,78.65084577114429
2.602648756218906,,,,63.96683582089552,
2.7008288557213933,,,,66.40334825870647,
2.7114422885572136,,,,,85.35191542288557
2.7940005,,,,68.66603,
2.867671,,,,70.617275,
2.893333,,,,,91.114745
2.935321890547264,,8.695189054726368,,,
2.9678308457711435,,,,72.30183084577115,
2.976120895522388,,,40.585706467661694,,
3.014006,,,,,95.985365
3.05935,,,,74.367345,
3.1023425,1.3873322999999995,,,,
3.1053389999999994,,,,,99.84059
3.129023880597015,,8.642785572139303,,,
3.1413365,,,,76.34131000000001,
3.1970154228855727,,,,76.76754228855721,
3.2083305,,,,,103.49759999999998
3.2875631840796027,,,,77.85007462686568,
3.356879601990049,,,,79.11578606965175,
3.414334,,,,,109.0651
3.4371497512437807,,,,79.86003980099503,
3.5094542288557213,,,41.164850746268655,,
3.546929353233831,,,,80.78404975124377,
3.5709975,,,,,112.66095
3.7426149253731342,,8.691209950248757,,,
3.7469965,1.4440024999999996,,,,
3.75333,,,,,116.49315
3.876337,,,,,119.18805
4.003669,,,,,121.29855000000002
4.4093420000000005,1.40466565,,,,
