Vds,Ids (Vg=9.0V),Ids (Vg=12.0V),Ids (Vg=15.0V),Ids (Vg=18.0V)
-0.0266666,,,2.090666,
-0.01999986,1.7040079999999995,,,
-0.0196076078431372,,,,0.6326811764705882
-0.0052286862745098,,1.6967235294117644,,
0.0888880588235294,,1.9032666666666664,,
0.0888880784313725,,,2.5411823529411763,
0.09199952,,,3.026666,
0.16266668,2.1999980000000003,,,
0.18399938,,,,2.117332
0.1906660399999999,,,3.1146700000000003,
0.2065353137254901,2.504572549019608,,,
0.2213335399999999,,2.021334,,
0.26266674,2.218666,,,
0.2980375882352941,2.379080392156862,,,
0.2986664,,2.16534,,
0.3111096078431372,,,3.584323529411765,
0.3673192156862745,,,,3.6653627450980393
0.3693322,2.442672,2.3893320000000005,,
0.3746656000000001,,,4.205338,
0.4453332,2.4266640000000006,,,
0.4562094117647059,,,4.815686274509804,
0.4573337999999999,,2.517332,,
0.5373338000000001,,,5.453329999999999,
0.5693334,2.4666680000000003,,,
0.5706668,,,,5.263999999999999
0.574667,,2.792002,,
0.6640004,,,6.093326000000001,
0.6797386274509805,2.449674509803922,,,
0.6875817647058825,,3.137252941176471,,
0.7679993999999999,,,6.773327999999999,
0.7680003999999999,,,,6.927996
0.790667,2.3813320000000004,,,
0.8091503921568626,,3.388245098039216,,
0.8906655999999998,,,7.386672,
0.901961176470588,,3.623529411764706,,
0.9053334,2.341332,,,
0.963401568627451,2.3424843137254907,,,
0.9693357999999996,,,,8.568007999999999
0.9746682,,3.976002,,
0.9933321999999998,,,8.080004,
1.0405339215686276,2.2771215686274515,,,
1.0506698,,,8.85866,
1.0509894117647058,,4.269276470588236,,
1.1359509803921568,,,,10.392176470588234
1.139998,,4.672008,,
1.14933,,,9.62667,
1.173856862745098,2.3764745098039217,,,
1.23867,,,10.282759999999998,
1.252002,,4.91466,,
1.2692803921568627,2.2771274509803923,,,
1.3411764705882354,,,,12.227411764705886
1.359994,,,11.08002,
1.367323529411765,2.3790862745098043,,,
1.3738568627450982,,5.265356862745097,,
1.4480000000000002,,,11.89066,
1.474507843137255,,5.945096078431373,,
1.4745117647058823,2.40523137254902,,,
1.5599980000000002,,,,14.103960000000002
1.5666680000000002,,,12.71736,
1.5856235294117649,2.4653627450980395,6.180382352941177,,
1.661338,,,13.560019999999998,
1.6893300000000002,,6.48,,
1.6906620000000003,2.533332,,,
1.751984,,,14.418660000000004,
1.753316,,,,16.10934
1.7555392156862748,2.598694117647059,,,
1.7712313725490196,,6.930719607843137,,
1.8274509803921568,,,15.231392156862746,
1.846666,,7.325340000000001,,
1.8522882352941177,2.690192156862746,,,
1.928004,,,,18.4186
1.9307156862745096,,,16.11762745098039,
1.9568588235294115,,7.699349019607844,,
1.9594823529411765,2.734641176470588,,,
2.039217647058824,,8.16993725490196,,
2.045338,,,16.968059999999998,
2.090192156862745,2.894117647058824,,,
2.1293360000000003,,,,20.65868
2.1673196078431376,2.9699372549019607,,,
2.1733320000000003,,,17.86132,
2.181328,,8.584000000000001,,
2.277121568627451,,8.982996078431372,,
2.2840000000000003,3.149336,,,
2.338666,,,,23.0827
2.358666,,9.455996,,
2.38,3.1440040000000007,,,
2.397328,,,19.6987,
2.4413400000000003,,9.89329,,
2.4444470588235294,3.2836607843137258,,,
2.48534,,,20.52266,
2.494674,,,,25.60526
2.5437823529411765,,10.324294117647058,,
2.5660117647058827,3.3333431372549023,,,
2.572,,,21.445280000000007,
2.649672549019608,,10.763450980392156,,
2.662747058823529,,,22.35033333333333,
2.6784313725490194,3.450996078431373,,,
2.7039980000000003,,,,28.03464
2.7386700000000004,,11.23204,,
2.758672,3.493346,,,
2.7773380000000003,,,23.2827,
2.8626660000000004,,11.86936,,
2.873203921568628,3.62353137254902,,,
2.895423529411765,,,,30.50721568627451
2.900004,,,24.18664,
2.950664,,12.38136,,
2.967998,3.712006,,,
2.9986720000000004,,,25.28524,
3.0533460000000003,,12.962780000000002,,
3.054909803921568,3.796080392156862,,,
3.076012,,,,33.016040000000004
3.077354,,,26.21862,
3.111117647058824,3.934641176470589,,,
3.132006,,13.45068,,
3.14667,,,27.00538,
3.215688235294118,,13.99213725490196,,
3.241328,4.09867,,,
3.26536274509804,,,,35.539901960784306
3.2705999999999995,,,28.086274509803925,
3.330662,,14.50938,,
3.3386659999999995,,,29.02132,
3.355996,4.170668000000001,,,
3.428004,,15.01594,,
3.452286274509804,,,30.047019607843144,
3.472,,,,38.20266000000001
3.530668,,15.62654,,
3.559476470588235,,,31.05354901960784,
3.5725431372549017,4.494117647058824,,,
3.636601960784313,,16.433960784313726,,
3.677123529411765,4.637909803921569,,,
3.678664,,,32.111880000000006,
3.695423529411764,,,,40.90196078431372
3.754245098039216,4.813072549019608,,,
3.755549019607844,,16.67194117647059,,
3.769927450980392,,,32.82350980392157,
3.816,,17.20544,,
3.8280000000000007,,,,43.55472
3.835301960784314,,,33.69929411764706,
3.84706274509804,4.959476470588236,,,
3.912,,17.82404,,
3.920270588235295,,,34.74762745098039,
3.933335294117648,5.066658823529412,,,
4.021336,,18.43194,,
