Vds,Ids (Vg=2.5V),Ids (Vg=3.0V),Ids (Vg=4.0V),Ids (Vg=6.0V),Ids (Vg=8.0V),Ids (Vg=10.0V),Ids (Vg=15.0V)
0.006301815920398,,,,,,0.4610282089552239,
0.0140962189054726,,,,,0.9900476119402986,,
0.0194029203980099,,,0.3522389552238806,,,,
0.0197345820895522,,-0.0424542786069651,,,,,
0.0199004776119403,,,,0.4431178606965174,,,
0.0212271890547263,0.0882258208955223,,,,,,
0.0245439452736318,,,,,,,0.4046428855721393
0.036166545,,,,2.4149995,,,
0.042454303482587,,,,,,,6.676617412935324
0.0472635970149253,,,,,,6.317736815920398,
0.0477610646766169,,,,,6.867332835820896,,
0.0522386019900497,,,,5.597349253731344,,,
0.0582088805970149,,,4.64676815920398,,,,
0.0661690547263681,,0.6109458706467661,,,,,
0.0726365024875621,0.0922055223880597,,,,,,
0.0807625373134328,,,,,,12.985154228855723,
0.0819233482587064,,,,,,,11.94363184079602
0.0847426517412935,,,,,,,13.769537313432837
0.0859035373134328,,,,,13.464353233830844,,
0.0936977363184079,,,9.333332835820894,,,,
0.0950245621890547,,,,12.843805970149257,,,
0.1079598308457711,,,,,,,19.82255721393035
0.1107790845771144,,,,,,18.86034328358209,
0.1112764577114427,,,,,19.386378109452732,,
0.1144277263681592,,,,18.652000000000005,,,
0.119734592039801,,1.259703781094527,,,,,
0.1230508805970149,0.1266996517412935,,,,,,
0.1303479104477612,,,13.645089552238806,,,,
0.1343285024875622,,,,,,26.047109452736315,
0.1384746567164179,,,,,26.50581094527363,,
0.1441134179104478,,,,,,,27.276950248756226
0.1446107860696517,,,,25.695522388059704,,,
0.1558885572139303,,1.7804348258706468,,,,,
0.1593710447761194,0.0922057213930348,,,,,,
0.1595367562189055,,,18.882925373134327,,,,
0.1621905870646766,,,,,,32.69716915422886,
0.1626880099502488,,,,,33.23051741293532,,
0.1663365024875622,,,,32.492845771144275,,,
0.1706479950248756,,,,,,,33.6832736318408
0.1855733333333333,,,,,,38.80602487562189,
0.1869000995024875,,,,,39.5573432835821,,
0.1900506965174129,,,23.944955223880594,,,,
0.1928698009950248,,,,38.80599502487562,,,
0.1936991044776119,,2.323716417910448,,,,,
0.2009956218905472,,,,,,,39.38480099502488
0.2014933333333333,0.1213932338308457,,,,,,
0.2139308955223881,,,,,,44.703069651741295,
0.2215590547263682,,,,45.089895522388055,,,
0.2218903482587064,,,28.75888557213931,,,,
0.22255407960199,,,,,45.736298507462685,,
0.2379767164179104,,,,,,,44.88393034825871
0.2444448258706467,,2.9041482587064675,,,,,
0.2456049751243781,,,,,,50.24741791044776,
0.2507460199004975,,,,51.0679303482587,,,
0.2520728855721393,,,,,51.303497512437815,,
0.258540447761194,0.1379764179104477,,,,,,
0.2616915920398009,,,33.53767661691543,,,,
0.2713103980099502,,,,,,,50.20395522388059
0.2837481094527363,,,,,,55.22991542288557,
0.285074975124378,,,,56.367497512437815,,,
0.2895525870646766,,,,,56.62520398009951,,
0.2986735820895522,,3.2437835820895526,,,,,
0.3038144278606964,,,38.20163184079602,,,,
0.3048094029850746,0.079602039800995,,,,,,
0.305638407960199,,,,,,,55.30181592039801
0.3243777611940298,,,,,62.00000995024876,,
0.3293528358208955,,,,,,60.677243781094525,
0.3301818407960198,,,,62.049761194029855,,,
0.3416253233830846,,,,,,,60.744562189054726
0.3484246766169154,,,42.351597014925375,,,,
0.3504145771144278,,3.509134328358209,,,,,
0.3545605970149253,,,,,67.54883084577114,,
0.358374776119403,,,,,,66.18973134328357,
0.3660035820895522,,,,67.75916417910447,,,
0.366832686567164,0.0948591542288557,,,,,,
0.3839133830845772,,,,,,,66.55389552238806
0.3882257711442786,,,47.14959203980099,,,,
0.3950250248756218,,,,73.09983582089552,,,
0.3951905472636816,,,,,72.87396019900497,,
0.3978435323383084,,,,,,71.31343283582089,
0.4056384079601989,,3.65837960199005,,,,,
0.4149253233830846,0.1074626368159204,,,,,,
0.4192368656716418,,,,,,,71.85238805970148
0.423714527363184,,,,,,76.6314776119403,
0.4245439800995024,,,,78.63153233830845,,,
0.4273631343283581,,,,,78.27364676616915,,
0.4273632338308457,,,51.43743283582088,,,,
0.4543946766169153,,,,,,,77.60373631840797
0.4550584577114427,,,,,,81.84014925373134,
0.4577117910447761,,3.820234825870647,,,,,
0.4630187064676616,,,,,83.60192537313434,,
0.4636818905472636,,,,83.94160696517413,,,
0.4681594527363185,0.1280264179104477,,,,,,
0.4703154228855721,,,55.54704477611939,,,,
0.4807633333333334,,,,,,,83.09120895522389
0.4845776119402985,,,,,,86.9737960199005,
0.4868989552238806,,,,89.21192537313433,,,
0.4880599999999999,,,,,88.71143283582089,,
0.4985073134328358,,,59.51446268656716,,,,
0.5001659701492538,,3.968160696517413,,,,,
0.5014924378109453,,,,,,,88.56548258706466
0.5038141791044776,,,,,,92.39671144278608,
0.5077940298507463,0.0882255721393034,,,,,,
0.5084574626865672,,,,,94.27035323383085,,
0.5126035323383085,,,,94.73699502487564,,,
0.5252072636815921,,,,,,,94.49925870646769
0.5293527860696517,,,63.15749751243781,,,,
0.531176815920398,,,,,98.50908457711444,,
0.5318409950248757,,,,,,97.49388059701492,
0.5364838805970149,,,,99.85061691542288,,,
0.5416252736318408,,4.082911442786069,,,,,
0.5555556218905473,0.0769485074626865,,,,,,
0.5558871144278608,,,,,,,99.92695024875624
0.5628525870646767,,,,,,102.70865671641792,
0.5648423880597016,,,,105.0773631840796,,,
0.5658373631840796,,,66.66933830845771,,,,
0.5668324378109453,,,,,103.80253731343284,,
0.579436368159204,,,,,,,105.73477611940298
0.5892207960199005,,,,,,107.77044776119403,
0.5910446268656716,,4.219570646766169,,,,,
0.5970150746268656,,,,,108.8476616915423,,
0.6054727363184078,,,,110.18656716417912,,,
0.6066334328358208,0.1147592039800995,,,,,,
0.6135986069651741,,,70.22619900497513,,,,
0.6150911940298507,,,,,,,111.40467661691542
0.6258704975124378,,,,,113.1358208955224,,
0.6268651741293532,,,,,,112.26094527363183,
0.6338307462686567,,,,114.56134328358208,,,
0.6479271641791045,,,,,,,116.45587064676616
0.650912288557214,,3.773801990049752,,,,,
0.6600329850746268,0.0762853731343283,,,,,,
0.6605306965174128,,,73.29153233830847,,,,
0.6830850746268656,,,,,,,122.42248756218903
0.699668407960199,,,76.26401492537315,,,,
0.7009949253731343,,4.388058706467661,,,,,
0.7247097512437811,,,,,,,128.15228855721392
0.7255388557213931,,,,,,126.93681592039802,
0.7439467164179104,,,,,126.49303482587064,,
0.7466003980099502,,,79.71808955223881,,,,
0.747761393034826,,4.482917412935323,,,,,
0.7510783084577115,,,,128.84547263681594,,,
0.7573798507462688,,,,,,,133.43283582089552
0.7880599502487563,,,81.97876119402984,,,,
0.7902156218905473,,,,,,,138.82467661691544
0.8082921890547263,,4.570483582089552,,,,,
0.8197344776119404,,,,,,,144.0844776119403
0.8396357213930349,,,,,,139.5344278606965,
0.847098855721393,,,,,135.80930348258707,,
0.8494202487562189,,,,,,,148.66189054726368
0.8502492537313433,,4.634163681592039,,,,,
0.8578784577114428,,,,140.63427860696518,,,
0.8757895024875623,,,,,,,153.4870646766169
0.885407512437811,,4.644115920398009,,,,,
0.908623631840796,,,88.37951741293531,,,,
0.9308457711442784,,4.244776616915423,,,,,
0.9432826865671644,,,,,,148.5679104477612,
0.9678255721393036,,,,,141.10900497512438,,
0.9752875621890548,,,,149.12597014925373,,,
0.9845742786069652,,4.71376567164179,,,,,
1.0527351243781096,,,92.80928358208952,,,,
1.083084577114428,,,,,,152.1145273631841,
1.1109432835820896,,,,,143.80940298507463,,
1.1504134328358209,,4.832502985074626,,,,,
1.1975124378109452,,,96.1850696517413,,,,
1.2213865671641788,,,,,,154.5574129353234,
1.2416194029850744,,,,,146.05203980099503,,
1.2779477611940302,,4.900825373134328,,,,,
1.333497014925373,,,98.55454726368156,,,,
1.3709796019900495,,,,,,156.38014925373133,
1.3978452736318407,,,,,147.47726368159204,,
1.4421213930348258,,4.995688059701492,,,,,
1.4837477611940295,,,100.44729850746268,,,,
1.5776099502487562,,5.107793034825871,,,,,
