Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	19:31:18.566092	0.0	8.1267333e-07	0.00677227775	0.000197307	0.6316
1	19:31:20.208373	0.2	7.80123452e-07	0.006501028766666667	0.000196805	0.6365
2	19:31:21.851628	0.4	7.80723371e-07	0.006506028091666666	0.000197307	0.6366
3	19:31:23.492400	0.6	8.12072355e-07	0.006767269625	0.000196554	0.6343
4	19:31:25.132336	0.8	-8.8122642e-07	-0.0073435535	0.000195926	0.6344
5	19:31:26.772058	1.0	-1.89119116e-05	-0.15759926333333332	-0.007571726	0.6325
6	19:31:28.413613	1.2	-1.95743705e-05	-0.16311975416666666	-0.007959814	0.6354
7	19:31:30.053897	1.4	-3.51859867e-05	-0.29321655583333334	-0.014564834	0.6326
8	19:31:31.706392	1.6	-5.04702422e-05	-0.42058535166666666	-0.021232982	0.6347
9	19:31:33.346662	1.8	-6.54664082e-05	-0.5455534016666667	-0.027653616	0.6335
10	19:31:34.986654	2.0	-8.00585226e-05	-0.667154355	-0.033804894	0.6339
11	19:31:36.630787	2.2	-9.55658476e-05	-0.7963820633333334	-0.040388436	0.6385
12	19:31:38.273257	2.4	-0.000109820475	-0.915170625	-0.04668292	0.6363
13	19:31:39.916274	2.6	-0.000109563104	-0.9130258666666666	-0.04646892	0.6361
14	19:31:41.572050	2.8	-0.000124426706	-1.0368892166666666	-0.052881755	0.6492
15	19:31:43.239185	3.0	-0.00013988811	-1.16573425	-0.059361865	0.6615
16	19:31:44.884517	3.2	-0.000153739623	-1.281163525	-0.065490407	0.6394
17	19:31:46.524265	3.4	-0.000169876781	-1.4156398416666667	-0.072355953	0.6340
18	19:31:48.163324	3.6	-0.000193589216	-1.6132434666666666	-0.08250642	0.6327
19	19:31:49.809904	3.8	-0.000206596199	-1.7216349916666664	-0.088759581	0.6406
20	19:31:51.458708	4.0	-0.000223123497	-1.859362475	-0.096588665	0.6388
21	19:31:53.098933	4.2	-0.000225488839	-1.8790736583333332	-0.099420356	0.6346
22	19:31:54.739929	4.4	-0.000225510393	-1.879253275	-0.099420356	0.6326
23	19:31:56.384436	4.6	-0.000225551668	-1.8795972333333333	-0.09942023	0.6379
24	19:31:58.023169	4.8	-0.000225543062	-1.8795255166666667	-0.099420104	0.6323
25	19:31:59.660125	5.0	-0.000225498037	-1.8791503083333332	-0.099417092	0.6310
26	19:32:01.296972	5.2	-0.000225531368	-1.8794280666666665	-0.099417594	0.6309
27	19:32:02.935276	5.4	-0.000225481874	-1.8790156166666667	-0.09941772	0.6321
28	19:32:04.575534	5.6	-0.000225522851	-1.8793570916666664	-0.099417343	0.6330
29	19:32:06.212637	5.8	-0.000225525736	-1.8793811333333332	-0.099416967	0.6308
30	19:32:07.852046	6.0	-0.000225489691	-1.8790807583333333	-0.099416716	0.6339
31	19:32:09.492605	6.2	-0.000225553068	-1.8796089	-0.09941546	0.6342
32	19:32:11.157220	6.4	-0.000225524577	-1.879371475	-0.09941659	0.6581
33	19:32:12.798445	6.6	-0.000225546753	-1.8795562749999999	-0.099416214	0.6359
34	19:32:14.438735	6.8	-0.000225496812	-1.8791401	-0.099416339	0.6344
35	19:32:16.076059	7.0	-0.000225536369	-1.8794697416666666	-0.099415712	0.6305
36	19:32:17.716560	7.2	-0.00022554904	-1.8795753333333332	-0.099418724	0.6348
37	19:32:19.355895	7.4	-0.000225486916	-1.8790576333333333	-0.099416465	0.6324
38	19:32:20.996322	7.6	-0.000225520541	-1.8793378416666666	-0.099413954	0.6345
39	19:32:22.636123	7.8	-0.000225522936	-1.8793578	-0.099414958	0.6347
40	19:32:24.275596	8.0	-0.000225528331	-1.8794027583333333	-0.099414707	0.6334
41	19:32:25.917268	8.2	-0.000225516252	-1.8793021	-0.099414707	0.6358
42	19:32:27.560046	8.4	-0.00022552694	-1.8793911666666665	-0.099414958	0.6363
43	19:32:29.198042	8.6	-0.000225491089	-1.8790924083333334	-0.099413452	0.6313
44	19:32:30.840699	8.8	-0.00022553835	-1.8794862499999998	-0.099415586	0.6359
45	19:32:32.482434	9.0	-0.000225510794	-1.8792566166666667	-0.099413201	0.6349
46	19:32:34.119254	9.2	-0.000225522309	-1.879352575	-0.099414833	0.6304
47	19:32:35.754828	9.4	-0.000225577146	-1.87980955	-0.099414205	0.6305
48	19:32:37.406865	9.6	-0.000225563718	-1.87969765	-0.099416088	0.6468
49	19:32:39.046360	9.8	-0.000225564449	-1.8797037416666666	-0.099414205	0.6341
50	19:32:40.690151	10.0	-0.000225530015	-1.8794167916666666	-0.099415209	0.6372
51	19:32:42.350586	10.2	-0.000225511422	-1.87926185	-0.099413201	0.6316
52	19:32:44.006638	10.4	-0.000225531802	-1.8794316833333333	-0.099414582	0.6351
53	19:32:45.651796	10.6	-0.000225505212	-1.8792100999999999	-0.099413578	0.6380
54	19:32:47.297872	10.8	-0.000225516459	-1.8793038249999998	-0.099415335	0.6349
55	19:32:48.946583	11.0	-0.000225513033	-1.879275275	-0.099415712	0.6429
56	19:32:50.586754	11.2	-0.000225529947	-1.8794162250000002	-0.099415335	0.6337
57	19:32:52.228278	11.4	-0.00022559357	-1.8799464166666666	-0.09941546	0.6342
58	19:32:53.867823	11.6	-0.000225599994	-1.87999995	-0.099414205	0.6335
59	19:32:55.512310	11.8	-0.00022559693	-1.8799744166666665	-0.09941408	0.6379
60	19:32:57.153532	12.0	-0.000225608538	-1.8800711499999998	-0.099414456	0.6346
61	19:32:58.794083	12.2	-0.000225657789	-1.880481575	-0.099413954	0.6343
62	19:33:00.436319	12.4	-0.000225612643	-1.8801053583333334	-0.099413954	0.6351
63	19:33:02.082208	12.6	-0.000225610865	-1.8800905416666664	-0.099414707	0.6399
64	19:33:03.724322	12.8	-0.000225586915	-1.8798909583333334	-0.099413703	0.6355
65	19:33:05.365672	13.0	-0.000225600012	-1.8800001	-0.099413954	0.6351
66	19:33:07.013570	13.2	-0.000225594979	-1.8799581583333331	-0.099413703	0.6409
67	19:33:08.654816	13.4	-0.000225608898	-1.8800741499999998	-0.099414707	0.6347
68	19:33:10.296594	13.6	-0.000225622211	-1.8801850916666667	-0.099413703	0.6350
69	19:33:11.945516	13.8	-0.000225628966	-1.8802413833333333	-0.099411695	0.6323
70	19:33:13.589906	14.0	-0.000225652353	-1.880436275	-0.099414833	0.6381
71	19:33:15.232765	14.2	-0.00022562559	-1.88021325	-0.099412699	0.6362
72	19:33:16.873208	14.4	-0.000225624162	-1.88020135	-0.09941546	0.6343
73	19:33:18.514725	14.6	-0.000225623404	-1.8801950333333333	-0.099413201	0.6347
74	19:33:20.161251	14.8	-0.000225631502	-1.8802625166666667	-0.099411946	0.6399
75	19:33:21.803158	15.0	-0.000225659543	-1.8804961916666665	-0.099413327	0.6351
