Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	16:49:54.431147	0.0	0.00775663996	64.63866633333333	1.456e-05	0.3166
1	16:49:55.675440	1.0	-0.138780981	-1156.508175	1.4936e-05	0.2374
2	16:49:56.913269	2.0	-0.197463921	-1645.532675	1.3932e-05	0.2328
3	16:49:58.150193	3.0	-0.257807424	-2148.3952	-0.002993122	0.2310
4	16:49:59.391266	4.0	-0.318463739	-2653.8644916666667	-0.004266832	0.2358
5	16:50:00.630216	5.0	-0.378777343	-3156.477858333333	-0.005812279	0.2319
6	16:50:01.867961	6.0	-0.43730383	-3644.1985833333333	-0.00706026	0.2326
7	16:50:03.108066	7.0	-0.496053062	-4133.775516666667	-0.008241968	0.2328
8	16:50:04.351355	8.0	-0.555223248	-4626.8604	-0.009442253	0.2371
9	16:50:05.591180	9.0	-0.61343715	-5111.97625	-0.010631745	0.2330
10	16:50:06.834189	10.0	-0.672060461	-5600.503841666667	-0.012114183	0.2361
