Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	19:40:40.392527	0.0	7.84946613e-07	0.006541221775	-8.0956e-05	0.6651
1	19:40:42.036004	0.2	7.48174701e-07	0.006234789175	-8.1333e-05	0.6381
2	19:40:43.676511	0.4	7.08992059e-07	0.0059082671583333335	-8.1333e-05	0.6330
3	19:40:45.321962	0.6	7.25268857e-07	0.0060439071416666665	-8.1082e-05	0.6393
4	19:40:46.960516	0.8	-2.12107133e-07	-0.0017675594416666665	-8.0705e-05	0.6317
5	19:40:48.600253	1.0	-1.84887591e-05	-0.1540729925	0.003011445	0.6345
6	19:40:50.245603	1.2	-1.85038053e-05	-0.15419837749999998	0.003058387	0.6381
7	19:40:51.893462	1.4	-3.44102365e-05	-0.2867519708333333	0.005872525	0.6381
8	19:40:53.537442	1.6	-4.93557351e-05	-0.4112977925	0.008535045	0.6369
9	19:40:55.178923	1.8	-6.37616903e-05	-0.5313474191666666	0.011076694	0.6355
10	19:40:56.821690	2.0	-7.91865131e-05	-0.6598876091666667	0.013786159	0.6364
11	19:40:58.462858	2.2	-9.32669054e-05	-0.7772242116666667	0.016236561	0.6354
12	19:41:00.104198	2.4	-0.000107404183	-0.8950348583333333	0.018738925	0.6348
13	19:41:01.748199	2.6	-0.000107090739	-0.8924228249999999	0.018793398	0.6377
14	19:41:03.392098	2.8	-0.00012193048	-1.0160873333333333	0.021390903	0.6376
15	19:41:05.034067	3.0	-0.000135751992	-1.1312666	0.023769262	0.6343
16	19:41:06.678312	3.2	-0.000150109652	-1.2509137666666665	0.026361245	0.6375
17	19:41:08.338583	3.4	-0.000166646506	-1.388720883333333	0.029301025	0.6532
18	19:41:09.978856	3.6	-0.000192940681	-1.6078390083333332	0.033823789	0.6346
19	19:41:11.626992	3.8	-0.000202053011	-1.6837750916666667	0.035710011	0.6350
20	19:41:13.272759	4.0	-0.000219095713	-1.8257976083333334	0.039027087	0.6367
21	19:41:14.911571	4.2	-0.000221979446	-1.8498287166666667	0.040336446	0.6326
22	19:41:16.551047	4.4	-0.000222040803	-1.850340025	0.040317744	0.6339
23	19:41:18.193736	4.6	-0.000221995992	-1.8499666	0.04032402	0.6359
24	19:41:19.840755	4.8	-0.000221993452	-1.8499454333333334	0.040320255	0.6405
25	19:41:21.482738	5.0	-0.000222074942	-1.8506245166666666	0.040304691	0.6336
26	19:41:23.131492	5.2	-0.000222081569	-1.8506797416666667	0.040305068	0.6348
27	19:41:24.772388	5.4	-0.000222074998	-1.8506249833333333	0.040300298	0.6336
28	19:41:26.413264	5.6	-0.000222079578	-1.85066315	0.040296533	0.6345
29	19:41:28.055558	5.8	-0.000222090879	-1.850757325	0.040290885	0.6350
30	19:41:29.696863	6.0	-0.000222136163	-1.8511346916666667	0.040282852	0.6341
31	19:41:31.339401	6.2	-0.000222203188	-1.8516932333333334	0.04026528	0.6361
32	19:41:32.980295	6.4	-0.000222252387	-1.852103225	0.040257874	0.6340
33	19:41:34.621108	6.6	-0.000222282168	-1.8523514	0.040250218	0.6345
34	19:41:36.263054	6.8	-0.000222258485	-1.8521540416666666	0.040243315	0.6356
35	19:41:37.906569	7.0	-0.000222345284	-1.8528773666666665	0.040223358	0.6368
36	19:41:39.546135	7.2	-0.000222405246	-1.85337705	0.040203904	0.6322
37	19:41:41.186056	7.4	-0.000222430806	-1.85359005	0.040191352	0.6336
38	19:41:42.829365	7.6	-0.000222421732	-1.8535144333333333	0.040194239	0.6346
39	19:41:44.476092	7.8	-0.000222449724	-1.8537477	0.040190097	0.6392
40	19:41:46.115770	8.0	-0.000222438985	-1.8536582083333333	0.040190348	0.6331
41	19:41:47.754785	8.2	-0.000222397789	-1.8533149083333333	0.040201896	0.6326
42	19:41:49.392696	8.4	-0.000222297855	-1.8524821249999999	0.040216706	0.6328
43	19:41:51.035261	8.6	-0.000222351598	-1.8529299833333333	0.04021043	0.6372
44	19:41:52.691335	8.8	-0.000222302025	-1.8525168749999998	0.040210054	0.6497
45	19:41:54.335584	9.0	-0.000222336317	-1.8528026416666665	0.040205786	0.6384
46	19:41:55.978474	9.2	-0.000222382665	-1.8531888749999998	0.0402029	0.6368
47	19:41:57.621542	9.4	-0.000222414771	-1.8534564249999999	0.040195118	0.6367
48	19:41:59.267978	9.6	-0.000222405206	-1.8533767166666666	0.040191478	0.6388
49	19:42:00.911721	9.8	-0.000222508033	-1.8542336083333333	0.040190348	0.6373
50	19:42:02.563172	10.0	-0.000222454892	-1.8537907666666666	0.040192984	0.6441
51	19:42:04.206631	10.2	-0.000222441652	-1.8536804333333332	0.040187713	0.6361
52	19:42:05.851269	10.4	-0.000222412296	-1.8534358	0.040197879	0.6379
53	19:42:07.491012	10.6	-0.000222371763	-1.853098025	0.040207293	0.6342
54	19:42:09.129727	10.8	-0.000222353345	-1.8529445416666668	0.04021407	0.6320
55	19:42:10.771486	11.0	-0.000222311232	-1.8525935999999998	0.040219718	0.6307
56	19:42:12.411165	11.2	-0.000222295883	-1.8524656916666666	0.040222229	0.6335
57	19:42:14.052584	11.4	-0.000222306015	-1.8525501249999998	0.040216832	0.6362
58	19:42:15.696084	11.6	-0.000222280077	-1.852333975	0.040218589	0.6373
59	19:42:17.339024	11.8	-0.000222248692	-1.8520724333333334	0.040225367	0.6363
60	19:42:18.975786	12.0	-0.000222260576	-1.8521714666666667	0.040229634	0.6312
61	19:42:20.612449	12.2	-0.00022228268	-1.8523556666666665	0.040226496	0.6311
62	19:42:22.249313	12.4	-0.000222266586	-1.85222155	0.04022135	0.6315
63	19:42:23.886169	12.6	-0.000222324348	-1.8527029	0.040223986	0.6312
64	19:42:25.523444	12.8	-0.00022233021	-1.85275175	0.040212941	0.6316
65	19:42:27.166509	13.0	-0.000222359437	-1.8529953083333333	0.040203025	0.6358
66	19:42:28.814278	13.2	-0.000222454542	-1.85378785	0.040189721	0.6420
67	19:42:30.465809	13.4	-0.000222506477	-1.8542206416666664	0.040179931	0.6437
68	19:42:32.106852	13.6	-0.00022260676	-1.8550563333333332	0.040154326	0.6322
69	19:42:33.743755	13.8	-0.000222695127	-1.855792725	0.040130353	0.6304
70	19:42:35.388650	14.0	-0.000222744535	-1.8562044583333335	0.04012345	0.6394
71	19:42:37.026869	14.2	-0.000222800496	-1.8566707999999998	0.040113032	0.6313
72	19:42:38.680414	14.4	-0.000222788486	-1.8565707166666667	0.040104372	0.6462
73	19:42:40.317642	14.6	-0.000222876063	-1.8573005249999999	0.04009044	0.6314
74	19:42:41.954817	14.8	-0.00022295661	-1.8579717500000001	0.040075253	0.6318
