Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	16:53:30.552660	0.0	-4.2912841e-07	-0.003576070083333333	-7.8697e-05	0.3157
1	16:53:31.790158	1.0	-4.06823012e-07	-0.0033901917666666666	-7.8571e-05	0.2320
2	16:53:33.027614	2.0	7.5574131e-06	0.0629784425	-7.9073e-05	0.2314
3	16:53:34.264878	3.0	3.93920896e-05	0.3282674133333333	0.006088534	0.2314
4	16:53:35.501029	4.0	7.60591734e-05	0.6338264450000001	0.012662183	0.2301
5	16:53:36.745553	5.0	0.000121336111	1.0111342583333334	0.020551342	0.2376
6	16:53:37.981429	6.0	0.000153862124	1.2821843666666666	0.026295852	0.2299
7	16:53:39.219743	7.0	0.000186689609	1.5557467416666666	0.031951374	0.2323
8	16:53:40.455086	8.0	0.00021642166	1.8035138333333334	0.037186552	0.2299
9	16:53:41.691098	9.0	0.000245200519	2.0433376583333334	0.041923188	0.2306
10	16:53:42.928419	10.0	0.000281959909	2.349665908333333	0.048632029	0.2320
