Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	17:22:43.933983	0.0	0.00899760309	74.98002575	1.343e-05	0.3161
1	17:22:45.178191	1.0	-0.140127536	-1167.7294666666667	1.2677e-05	0.2376
2	17:22:46.421586	2.0	-0.200747245	-1672.8937083333333	1.3053e-05	0.2381
3	17:22:47.664786	3.0	-0.260826115	-2173.5509583333337	-0.002703437	0.2367
4	17:22:48.906073	4.0	-0.318728116	-2656.067633333333	-0.003876234	0.2348
5	17:22:50.149335	5.0	-0.37810951	-3150.9125833333333	-0.005259016	0.2327
6	17:22:51.390363	6.0	-0.439105826	-3659.2152166666665	-0.006379852	0.2351
7	17:22:52.631223	7.0	-0.499449996	-4162.0833	-0.00747847	0.2332
8	17:22:53.869108	8.0	-0.559286661	-4660.722175	-0.008567049	0.2327
9	17:22:55.107243	9.0	-0.618110223	-5150.918524999999	-0.009653618	0.2323
10	17:22:56.349783	10.0	-0.677919158	-5649.326316666667	-0.01099837	0.2362
