Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	18:14:44.744313	0.0	0.0070349246	58.62437166666666	1.343e-05	0.3179
1	18:14:45.990300	0.2	-0.134937021	-1124.4751749999998	1.2551e-05	0.2391
2	18:14:47.232782	0.4	-0.19535841	-1627.98675	1.3179e-05	0.2373
3	18:14:48.480611	0.6	-0.25590785	-2132.5654166666664	1.3053e-05	0.2414
4	18:14:49.723178	0.8	-0.315927195	-2632.726625	1.3806e-05	0.2368
5	18:14:50.963307	1.0	-0.375747647	-3131.230391666667	1.4811e-05	0.2337
6	18:14:52.205668	1.2	-0.435100452	-3625.8371	1.4434e-05	0.2369
7	18:14:53.451079	1.4	-0.493807058	-4115.058816666667	1.3681e-05	0.2363
8	18:14:54.694600	1.6	-0.552899505	-4607.495875	1.3304e-05	0.2368
9	18:14:55.938568	1.8	-0.611855395	-5098.794958333333	1.2551e-05	0.2373
10	18:14:57.181693	2.0	-0.669829638	-5581.9136499999995	1.2677e-05	0.2368
11	18:14:58.444519	2.2	-0.726802997	-6056.691641666666	-0.001017539	0.2558
12	18:14:59.690118	2.4	-0.785969206	-6549.7433833333325	-0.002183184	0.2400
13	18:15:00.933151	2.6	-0.843769385	-7031.411541666666	-0.002196614	0.2366
14	18:15:02.172915	2.8	-0.90276933	-7523.07775	-0.002452912	0.2343
15	18:15:03.413691	3.0	-0.960763104	-8006.3592	-0.002781883	0.2355
16	18:15:04.658367	3.2	-1.01966047	-8497.170583333333	-0.00308575	0.2382
17	18:15:05.909278	3.4	-1.07780703	-8981.72525	-0.00343292	0.2412
18	18:15:07.153573	3.6	-1.13636971	-9469.747583333334	-0.003692231	0.2372
19	18:15:08.396533	3.8	-1.19518445	-9959.870416666667	-0.003649933	0.2362
20	18:15:09.647955	4.0	-0.145064828	-1208.8735666666666	-0.003969867	0.2456
21	18:15:10.889410	4.2	-0.112085414	-934.0451166666666	-0.004257419	0.2350
22	18:15:12.127365	4.4	-0.172479881	-1437.3323416666667	-0.004532544	0.2319
23	18:15:13.369270	4.6	-0.232933978	-1941.1164833333335	-0.004834027	0.2356
24	18:15:14.608320	4.8	-0.292677868	-2438.982233333333	-0.005108149	0.2326
25	18:15:15.845524	5.0	-0.353089318	-2942.410983333333	-0.005396829	0.2318
26	18:15:17.085859	5.2	-0.412985063	-3441.5421916666664	-0.005395198	0.2353
27	18:15:18.324874	5.4	-0.471833898	-3931.9491499999995	-0.005662416	0.2327
28	18:15:19.563560	5.6	-0.53150633	-4429.219416666667	-0.00594959	0.2334
29	18:15:20.801001	5.8	-0.590900326	-4924.169383333333	-0.006229613	0.2314
30	18:15:22.040894	6.0	-0.649228413	-5410.236775	-0.006512394	0.2340
31	18:15:23.277672	6.2	-0.707346602	-5894.555016666666	-0.006772333	0.2309
32	18:15:24.515692	6.4	-0.765827668	-6381.897233333333	-0.006782248	0.2326
33	18:15:25.758912	6.6	-0.824361164	-6869.676366666667	-0.007080844	0.2377
34	18:15:27.005531	6.8	-0.883501055	-7362.508791666666	-0.007329109	0.2365
35	18:15:28.248051	7.0	-0.943041771	-7858.681425	-0.007617664	0.2368
36	18:15:29.491406	7.2	-1.00278189	-8356.51575	-0.007897433	0.2370
37	18:15:30.735800	7.4	-1.06244107	-8853.675583333334	-0.008165656	0.2362
38	18:15:31.976802	7.6	-1.12094944	-9341.245333333332	-0.008427981	0.2354
39	18:15:33.218672	7.8	-1.1803096	-9835.913333333332	-0.008426474	0.2349
40	18:15:34.471335	8.0	-0.144352542	-1202.93785	-0.008717414	0.2465
41	18:15:35.709079	8.2	-0.111797351	-931.6445916666667	-0.008980992	0.2305
42	18:15:36.956382	8.4	-0.172693729	-1439.1144083333331	-0.009268795	0.2413
43	18:15:38.197551	8.6	-0.232975734	-1941.46445	-0.009526598	0.2346
44	18:15:39.442150	8.8	-0.292697061	-2439.142175	-0.009804234	0.2382
45	18:15:40.685419	9.0	-0.353038924	-2941.9910333333332	-0.009808752	0.2372
46	18:15:41.927831	9.2	-0.413234875	-3443.623958333333	-0.010091032	0.2360
47	18:15:43.170659	9.4	-0.472488807	-3937.406725	-0.010354735	0.2353
48	18:15:44.415290	9.6	-0.532485895	-4437.3824583333335	-0.010635511	0.2378
49	18:15:45.664283	9.8	-0.591068792	-4925.573266666666	-0.010892311	0.2423
50	18:15:46.904829	10.0	-0.64968293	-5414.024416666666	-0.011153756	0.2343
