Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	15:45:53.691647	0.0	-3.98378515e-07	-0.0033198209583333335	-9.7273e-05	1.8329
1	15:46:03.732410	2.0	0.000200737696	1.6728141333333333	0.039956015	1.8347
2	15:46:13.777851	4.0	0.000421273092	3.5106091	0.08456953	1.8374
3	15:46:23.820874	6.0	0.000668863741	5.573864508333333	0.13708865	1.8371
4	15:46:33.865873	8.0	0.000887130083	7.3927506916666665	0.18494174	1.8374
5	15:46:43.908210	10.0	0.0011227989	9.3566575	0.24790088	1.8356
6	15:46:53.951187	12.0	0.00132754013	11.062834416666666	0.31504036	1.8361
7	15:47:03.997630	14.0	0.00153921978	12.826831499999999	0.43266593	1.8381
8	15:47:14.040871	16.0	0.00172545569	14.378797416666666	0.57722818	1.8371
9	15:47:24.085374	18.0	0.00198061739	16.505144916666666	0.7052801	1.8370
10	15:47:34.127447	20.0	0.00224536624	18.711385333333332	0.82232348	1.8355
11	15:47:44.173437	22.0	0.00257645268	21.470439	0.82109111	1.8378
12	15:47:54.215138	24.0	0.0027202184	22.668486666666666	0.86169185	1.8347
13	15:48:04.257019	26.0	0.00298402077	24.86683975	0.87843058	1.8353
14	15:48:14.299556	28.0	0.00324951632	27.079302666666667	0.85692169	1.8354
15	15:48:24.342815	30.0	0.00348665891	29.055490916666667	0.91872763	1.8363
16	15:48:34.384433	32.0	0.00361921671	30.16013925	0.87819465	1.8345
17	15:48:44.429422	34.0	0.00396744002	33.062000166666664	0.91057033	1.8372
18	15:48:54.476026	36.0	0.00421492772	35.12439766666667	0.99383626	1.8404
19	15:49:04.519883	38.0	0.00462869775	38.572481249999996	0.99062606	1.8362
20	15:49:14.565665	40.0	0.00468918672	39.076556000000004	0.860024	1.8400
21	15:49:24.612203	42.0	0.00517006444	43.08387033333334	0.97215165	1.8413
22	15:49:34.665182	44.0	0.00527457485	43.95479041666666	1.068114	1.8467
23	15:49:44.710026	46.0	0.00517281902	43.10682516666667	1.2344442	1.8388
