Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	13:41:55.531571	0.0	4.90218957e-07	0.004085157975	-8.058e-05	0.3200
1	13:41:56.812796	0.5	4.92629046e-07	0.004105242049999999	-8.0454e-05	0.2326
2	13:41:58.054189	1.0	5.2096232e-07	0.004341352666666666	-8.0454e-05	0.2359
3	13:41:59.329083	1.5	5.21567047e-07	0.004346392058333333	-7.9827e-05	0.2368
4	13:42:00.579579	2.0	-7.65488212e-06	-0.06379068433333333	-8.0831e-05	0.2427
5	13:42:01.821290	2.5	-2.53291515e-05	-0.21107626249999997	0.003764525	0.2345
6	13:42:03.077697	3.0	-3.85038552e-05	-0.32086546	0.006036948	0.2350
7	13:42:04.338486	3.5	-5.10310741e-05	-0.4252589508333333	0.008244229	0.2369
8	13:42:05.603837	4.0	-6.51183982e-05	-0.5426533183333333	0.010688105	0.2350
9	13:42:06.858796	4.5	-7.87458833e-05	-0.6562156941666667	0.012992911	0.2316
10	13:42:08.112884	5.0	-9.97622875e-05	-0.8313523958333333	0.016590634	0.2471
11	13:42:09.401636	5.5	-0.000116405575	-0.9700464583333334	0.019858756	0.2528
12	13:42:10.646894	6.0	-0.000144597723	-1.2049810250000001	0.024828345	0.2328
13	13:42:11.891573	6.5	-0.000130623126	-1.08852605	0.022010563	0.2383
14	13:42:13.132700	7.0	-0.000159585974	-1.3298831166666667	0.027118467	0.2331
15	13:42:14.373088	7.5	-0.000177385822	-1.4782151833333332	0.030654819	0.2335
16	13:42:15.613802	8.0	-0.00020450742	-1.7042285	0.038992195	0.2349
17	13:42:16.858582	8.5	-0.000204498594	-1.70415495	0.038995207	0.2380
18	13:42:18.101722	9.0	-0.000204476019	-1.703966825	0.038995207	0.2356
19	13:42:19.343503	9.5	-0.000204460719	-1.703839325	0.038993575	0.2350
20	13:42:20.585248	10.0	-0.000204476178	-1.70396815	0.038992697	0.2359
