Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	13:46:21.862841	0.0	7.00602749e-07	0.005838356241666667	-7.9701e-05	0.3189
1	13:46:23.102973	1.0	7.05425691e-07	0.005878547424999999	-8.0956e-05	0.2325
2	13:46:24.348217	2.0	-7.68735224e-06	-0.06406126866666666	-7.945e-05	0.2361
3	13:46:25.587468	3.0	-3.76673314e-05	-0.31389442833333336	0.005806254	0.2325
4	13:46:26.828324	4.0	-6.27781427e-05	-0.5231511891666666	0.01014827	0.2348
5	13:46:28.091840	5.0	-9.57700017e-05	-0.7980833475	0.016005365	0.2561
6	13:46:29.334693	6.0	-0.000125485039	-1.0457086583333333	0.021067957	0.2357
7	13:46:30.598386	7.0	-0.000164036888	-1.3669740666666665	0.028114294	0.2575
8	13:46:31.844278	8.0	-0.000204598972	-1.7049914333333334	0.03889078	0.2382
9	13:46:33.083798	9.0	-0.000204627682	-1.7052306833333333	0.038892537	0.2335
10	13:46:34.326078	10.0	-0.000204619668	-1.7051639	0.038892788	0.2355
