Vds,Ids (Vg=5.0V),Ids (Vg=7.0V),Ids (Vg=9.0V),Ids (Vg=12.9V),Ids (Vg=14.9V)
0.0463681940298507,0.1280263681592039,,,,
0.0551244427860696,0.1160864179104477,,,,
0.0573134676616915,,0.1442779004975124,,,
0.0618243084577114,,,0.1081254825870646,,
0.0842458905472637,,0.1469314129353233,,,
0.0857052039800995,,,0.1117740298507462,,
0.1017585621890547,,0.1339961542288557,,,
0.1034832338308457,,,0.1326693184079601,,
0.1046775771144278,0.105472487562189,,,,
0.1495856865671641,,0.1406298109452736,,,
0.1513763681592039,,,0.1207291990049751,,
0.1523335999999999,0.1283329799999999,,,,
0.2003316417910448,,0.1200659054726368,,,
0.2017245273631841,,,0.1223877014925373,,
0.2021887064676617,0.1651736766169154,,,,
0.2508789552238806,,,0.1422878457711442,,
0.2522718407960199,,0.1160857810945273,,,
0.2534666,0.1506661,,,,
0.3030848258706467,0.1582086019900497,,,,
0.303814527363184,,0.1402981343283582,,,
0.3047430348258706,,,0.143946487562189,,
0.351245223880597,,0.138639631840796,,,
0.3523726865671642,,,0.112105711442786,,
0.3525717412935323,0.1645101791044776,,,,
0.402321592039801,,0.1416246567164178,,,
0.4034494029850746,0.143614671641791,,,,
0.4039802985074627,,,0.1240458855721392,,
0.453267064676617,,,0.1349910248756218,,
0.4537315920398009,,0.1515749004975124,,,
0.4549332,0.111665995,,,,
0.4951904975124377,,,0.1263677711442786,,
0.4970480597014926,,0.135323,,,
0.4986399502487562,0.1489214676616915,,,,
0.5491875124378109,0.1442781890547263,,,,
0.5510447761194031,,0.1333327910447761,,,
0.5529687562189055,,,0.133664631840796,,
0.6011270646766169,,,0.1432831442786069,,
0.602121791044776,,0.1658371044776119,,,
0.6026656,0.149332985,,,,
0.6459699004975126,,0.2334984427860696,,,
0.6468325870646765,,,0.2401320945273632,,
0.6470311940298508,0.1300161691542288,,,,
0.6989715422885572,,0.3237137810945274,,,
0.7000997512437812,0.1426196865671641,,,,
0.7008293034825871,,,0.3412930049751244,,
0.7436828358208956,,,0.5389717910447761,,
0.7442135820895522,,0.50414592039801,,,
0.7469332338308458,0.1074622835820895,,,,
0.7903813930348257,,0.8245441791044776,,,
0.7927031840796019,,,0.9359885074626866,,
0.7960863681592039,0.1568818358208955,,,,
0.841724776119403,,,1.421226368159204,,
0.8464347263681592,,1.1469341293532338,,,
0.8516085572139303,0.1426200348258706,,,,
0.8895508955223881,,,1.9880606965174132,,
0.8933314427860699,,1.5512442786069651,,,
0.8958653500000001,0.12999931,,,,
0.9385074626865672,,,2.6670004975124377,,
0.9391043283582088,,1.9406313432835824,,,
0.9462025373134328,0.1661687761194029,,,,
0.97919955,,,,,4.370003
0.9806668,,,,4.031666,
0.9847421890547264,,2.3383089552238805,,,
0.9848731343283582,,,3.3369830845771147,,
0.9953550746268656,0.1502482089552238,,,,
1.024952288557214,,,,,5.452725870646766
1.027674328358209,,,,5.154218905472637,
1.0337108457711444,,,4.17379552238806,,
1.0372903980099504,,2.7936985074626866,,,
1.0386745,0.15166609,,,,
1.0708671500000002,,,,,6.5916655
1.0834497512437813,,,5.022219900497512,,
1.0859696517412936,,3.202987064676617,,,
1.0941288557213928,0.1379763184079601,,,,
1.1207940298507464,,,,,8.001658706467662
1.1312124378109454,,,5.834832338308457,,
1.13718407960199,,3.611276119402985,,,
1.1454746268656717,0.1356544029850746,,,,
