Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	13:42:56.646525	0.0	1.63765631e-08	0.00013647135916666667	-0.000297341	0.3187
1	13:42:57.934884	1.0	2.60223543e-08	0.00021685295249999998	-0.000297592	0.2469
2	13:42:59.184934	2.0	3.74768134e-08	0.0003123067783333333	-0.000299098	0.2359
3	13:43:00.427049	3.0	3.08448083e-08	0.00025704006916666664	0.014864571	0.2354
4	13:43:01.696280	4.0	6.88240609e-08	0.0005735338408333333	0.029637531	0.2344
5	13:43:02.942027	5.0	7.12355476e-08	0.0005936295633333334	0.051433622	0.2385
6	13:43:04.185799	6.0	8.02781641e-08	0.0006689847008333333	0.081559707	0.2365
7	13:43:05.428836	7.0	6.46042507e-08	0.0005383687558333333	0.099422217	0.2358
8	13:43:06.708148	8.0	1.14641077e-07	0.0009553423083333333	0.099425229	0.2357
9	13:43:07.968866	9.0	1.17052185e-07	0.000975434875	0.099423095	0.2366
10	13:43:09.210318	10.0	1.13435526e-07	0.00094529605	0.099425229	0.2345
