Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	17:56:43.645805	0.0	-5.38234844e-07	-0.004485290366666666	-8.0329e-05	2.5341
1	17:56:51.188805	3.0	0.000320967783	2.674731525	0.049775961	2.5360
2	17:56:58.734423	6.0	0.000688058033	5.733816941666667	0.10735996	2.5381
3	17:57:06.279594	9.0	0.00102555974	8.546331166666667	0.16207501	2.5386
4	17:57:13.863814	12.0	0.00139075175	11.589597916666666	0.22372523	2.5662
5	17:57:21.408715	15.0	0.00175362247	14.613520583333331	0.29019451	2.5377
6	17:57:28.951968	18.0	0.00211352913	17.612742750000002	0.3636013	2.5367
7	17:57:36.501623	21.0	0.00244259002	20.354916833333334	0.44100519	2.5381
8	17:57:44.045643	24.0	0.00279238368	23.269864000000002	0.53708048	2.5358
9	17:57:51.597203	27.0	0.00312574925	26.047910416666667	0.65119976	2.5451
10	17:57:59.162309	30.0	0.00342148407	28.51236725	0.78915591	2.5584
11	17:58:06.720379	33.0	0.00371436458	30.953038166666666	0.98099166	2.5388
12	17:58:14.267049	36.0	0.00394303119	32.85859325	1.2853335	2.5402
13	17:58:21.843491	39.0	0.00404712687	33.72605725	1.6825418	2.5404
14	17:58:29.389151	42.0	0.00390108739	32.509061583333335	2.1761741	2.5388
15	17:58:36.948906	45.0	0.00360199881	30.01665675	2.2442317	2.5535
16	17:58:44.487998	48.0	0.00759875291	63.32294091666667	1.4009241	2.5338
17	17:58:52.036960	51.0	-1.57577858e-05	-0.13131488166666666	3.001434	2.5417
18	17:58:59.589880	54.0	-1.31720767e-08	-0.00010976730583333333	2.9983924	2.5457
19	17:59:07.140786	57.0	8.44859909e-08	0.0007040499241666667	2.998405	2.5438
20	17:59:14.688141	60.0	9.05146137e-08	0.0007542884475	2.9983799	2.5404
