Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	13:37:28.582458	0.0	1.34544349e-07	0.0011212029083333334	-8.2588e-05	0.3177
1	13:37:29.826473	1.0	1.68304906e-07	0.0014025408833333332	-8.2211e-05	0.2353
2	13:37:31.066812	2.0	-8.41462011e-06	-0.07012183425	-8.1458e-05	0.2330
3	13:37:32.304751	3.0	-3.92671903e-05	-0.32722658583333336	0.006050629	0.2320
4	13:37:33.543680	4.0	-6.52860791e-05	-0.5440506591666666	0.010639531	0.2334
5	13:37:34.820611	5.0	-9.78875357e-05	-0.8157294641666667	0.016352033	0.2320
6	13:37:36.063695	6.0	-0.000127190141	-1.0599178416666668	0.02171046	0.2365
7	13:37:37.309559	7.0	-0.00016708869	-1.39240575	0.029245925	0.2376
8	13:37:38.548838	8.0	-0.000204160219	-1.7013351583333332	0.039136786	0.2327
9	13:37:39.794163	9.0	-0.000204137592	-1.7011466	0.039134025	0.2331
10	13:37:41.035012	10.0	-0.000204215842	-1.7017986833333332	0.039134025	0.2348
