Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	16:52:17.096240	0.0	-4.47214468e-07	-0.003726787233333333	-7.9199e-05	0.3190
1	16:52:18.335111	1.0	-4.23100511e-07	-0.0035258375916666666	-7.9199e-05	0.2331
2	16:52:19.577994	2.0	7.93182517e-06	0.06609854308333332	-8.058e-05	0.2312
3	16:52:20.814723	3.0	3.8750211e-05	0.32291842499999995	0.005833741	0.2312
4	16:52:22.052120	4.0	7.70428043e-05	0.6420233691666667	0.012770627	0.2318
5	16:52:23.291926	5.0	0.000106082779	0.8840231583333332	0.017519434	0.2344
6	16:52:24.540921	6.0	0.000146601534	1.2216794500000001	0.024584473	0.2330
7	16:52:25.777082	7.0	0.000182364394	1.5197032833333333	0.03148346	0.2303
8	16:52:27.016819	8.0	0.000194460119	1.6205009916666666	0.032727553	0.2313
9	16:52:28.253722	9.0	0.000216829329	1.806911075	0.036783654	0.2313
10	16:52:29.490962	10.0	0.000238840314	1.99033595	0.040077512	0.2317
