Vds,Ids (Vg=2.5V)_x,Ids (Vg=2.5V)_y,Ids (Vg=3.0V),Ids (Vg=4.0V),Ids (Vg=6.0V),Ids (Vg=8.0V),Ids (Vg=10.0V),Ids (Vg=12.0V),Ids (Vg=15.0V)
-0.0179104228855721,,,,,0.2779439303482586,,,,
-0.0029850497512437,,,,,,,,0.4444437810945273,
0.0041791044776119,,,,0.3336653233830845,,,,,
0.0045771094527363,,,,,,,,,0.2089553731343283
0.006036487562189,,-0.0315092039800995,,,,,,,
0.0061691592039801,,,,,,,0.5306779601990049,,
0.0063018258706467,,,0.0961858706467661,,,,,,
0.0117744427860696,,,,,,0.4099502487562189,,,
0.0255389004975124,,,,,3.3804373134328363,,,,
0.0379436218905472,,,,,,,,3.600332835820895,
0.0449751492537313,,,,,,,,,3.378107462686568
0.0456384776119403,,,,,,,3.68988656716418,,
0.0511443084577114,,,1.6583892537313432,,,,,,
0.0520064676616915,,,,3.073300995024876,,,,,
0.0540630746268656,,0.4676605970149253,,,,,,,
0.0582088507462686,,,,,,3.526378606965175,,,
0.0653397761194029,,,,,6.6421213930348255,,,,
0.07343307960199,,,,,,,,7.051409452736318,
0.0758211393034826,,,,,,,,,6.854063184079603
0.0776122537313433,,,,,,,7.13764328358209,,
0.0815922835820895,,,,5.97279552238806,,,,,
0.0925379701492537,,,,,,,8.293535323383086,,
0.0935329253731343,,,3.077940298507462,,,,,,
0.0960195323383084,,,,,,6.973796517412935,,,
0.0993044129353234,,0.7512435323383085,,,,,,,
0.1067989800995025,,,,,9.543615422885573,,,,
0.1081268208955223,,,,,,,,10.02317263681592,
0.1133671393034825,,,,,,,10.067943781094527,,
0.1142959850746268,,,,,,,,,9.852379104477611
0.1291875273631841,,,,,,9.942274626865672,,,
0.1304149651741293,,,,8.42786368159204,,,,,
0.1405634577114428,,,4.35323184079602,,,,,,
0.1426208358208955,,,,,13.01832338308458,,,,
0.1472637313432836,0.8935378606965174,,,,,,,,
0.1478609452736318,,0.9535639800995024,,,,,,,
0.1537644776119403,,,,,,,,13.573810945273634,
0.1584741940298507,,,,,,,13.693203980099502,,
0.1587396019900497,,,,,,,,,13.46429850746269
0.1650096865671642,,,,,,13.483243781094528,,,
0.1650096865671642,,,,,,13.483243781094528,,,
0.1650096865671642,,,,,,13.483243781094528,,,
0.1650096865671642,,,,,,13.483243781094528,,,
0.1715422885572139,,,,11.433502487562189,,,,,
0.1797690547263682,,,,,16.350283582089553,,,,
0.1921062189054726,,,5.674954228855722,,,,,,
0.1952902985074626,,,,,,,,17.023248756218905,
0.1974128358208955,,,,,,,,,16.96518905472637
0.1980101990049751,1.188722935323383,,,,,,,,
