Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	13:39:55.995297	0.0	3.11778751e-07	0.0025981562583333334	-8.0705e-05	0.3209
1	13:39:57.264440	1.0	3.75681621e-07	0.003130680175	-8.0078e-05	0.2335
2	13:39:58.508410	2.0	-8.33614744e-06	-0.06946789533333333	-8.2211e-05	0.2376
3	13:39:59.784310	3.0	-3.86397435e-05	-0.32199786249999995	0.005977705	0.2389
4	13:40:01.029035	4.0	-6.94853132e-05	-0.5790442766666666	0.011410183	0.2379
5	13:40:02.267920	5.0	-9.74909922e-05	-0.8124249349999999	0.016244091	0.2330
6	13:40:03.513612	6.0	-0.000119868804	-0.9989066999999999	0.020344119	0.2386
7	13:40:04.793128	7.0	-0.000181562906	-1.5130242166666668	0.031966561	0.2347
8	13:40:06.039677	8.0	-0.000204374868	-1.7031239	0.039052315	0.2399
9	13:40:07.289564	9.0	-0.000204397883	-1.7033156916666667	0.039052818	0.2382
10	13:40:08.531895	10.0	-0.00020438024	-1.7031686666666668	0.039050935	0.2353
