Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	15:53:33.804428	0.0	-5.54510262e-07	-0.00462091885	-0.000113841	1.8321
1	15:53:53.845543	2.0	0.000196367441	1.6363953416666666	0.049604007	1.8355
2	15:54:13.890136	4.0	0.000413506271	3.445885591666667	0.10659721	1.8362
3	15:54:33.937852	6.0	0.000654334917	5.452790975	0.17697771	1.8352
4	15:54:53.980859	8.0	0.000854020542	7.1168378500000005	0.25090275	1.8370
5	15:55:14.023128	10.0	0.00106291595	8.857632916666667	0.36797738	1.8354
6	15:55:34.066202	12.0	0.00120500547	10.04171225	0.53131138	1.8362
7	15:55:54.119877	14.0	0.00145883224	12.156935333333333	0.7321753	1.8450
8	15:56:14.161992	16.0	0.00187913387	15.659448916666667	0.72214435	1.8363
9	15:56:34.204464	18.0	0.00219000169	18.250014083333333	0.62643168	1.8359
10	15:56:54.249512	20.0	0.00225722877	18.81023975	0.78141778	1.8344
11	15:57:14.291563	22.0	0.00271366946	22.613912166666665	0.75419749	1.8361
12	15:57:34.330927	24.0	0.00287190482	23.932540166666666	0.79839877	1.8333
13	15:57:54.403665	26.0	0.00301216721	25.101393416666667	0.81864393	1.8662
14	15:58:14.475873	28.0	0.00340977085	28.41475708333333	0.82919067	1.8626
15	15:58:34.540946	30.0	0.00354016836	29.501403	0.88176381	1.8345
16	15:58:54.588751	32.0	0.00371694017	30.974501416666666	0.91640971	1.8359
17	15:59:14.635692	34.0	0.00390065254	32.50543783333333	1.0159738	1.8358
18	15:59:34.695214	36.0	0.00423751264	35.31260533333333	0.87872801	1.8529
19	15:59:54.739141	38.0	0.00442204935	36.85041125	0.97582874	1.8374
20	16:00:14.784411	40.0	0.00449026739	37.418894916666666	1.1260083	1.8369
21	16:00:34.830728	42.0	0.00555138006	46.2615005	0.96287491	1.8392
22	16:00:54.872244	44.0	0.00525097166	43.758097166666666	0.76245894	1.8343
23	16:01:14.913434	46.0	0.00535078478	44.58987316666667	0.90659209	1.8348
