Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	14:31:26.468631	0.0	-3.9295432e-07	-0.003274619333333333	-7.6187e-05	1.8320
1	14:31:36.512606	2.0	0.000208719278	1.7393273166666667	0.02781369	1.8382
2	14:31:46.561506	4.0	0.000432746529	3.606221075	0.05774609	1.8359
3	14:31:56.604328	6.0	0.000685346286	5.71121905	0.091822224	1.8365
4	14:32:06.645398	8.0	0.000909283873	7.5773656083333325	0.12281714	1.8343
5	14:32:16.686861	10.0	0.00116058172	9.671514333333334	0.15754836	1.8358
6	14:32:26.728702	12.0	0.00138321496	11.526791333333334	0.18953241	1.8357
7	14:32:36.770775	14.0	0.0016342615	13.618845833333333	0.22680742	1.8343
8	14:32:46.817132	16.0	0.00185555543	15.462961916666666	0.26120353	1.8397
9	14:32:56.860964	18.0	0.00210334978	17.527914833333334	0.30161974	1.8359
10	14:33:06.905302	20.0	0.00232327163	19.360596916666665	0.33994015	1.8387
11	14:33:16.955631	22.0	0.00256906332	21.408860999999998	0.38541889	1.8388
12	14:33:26.997448	24.0	0.00278391053	23.19925441666667	0.4288094	1.8353
13	14:33:37.042785	26.0	0.00299720075	24.976672916666665	0.47566363	1.8377
14	14:33:47.131371	28.0	0.00323360644	26.94672033333333	0.53236178	1.8677
15	14:33:57.173096	30.0	0.00343878942	28.6565785	0.58873749	1.8361
16	14:34:07.216541	32.0	0.00366229172	30.519097666666667	0.65833799	1.8363
17	14:34:17.260311	34.0	0.00385366296	32.113858	0.7296842	1.8378
18	14:34:27.304060	36.0	0.00405732754	33.81106283333333	0.81929902	1.8375
19	14:34:37.342890	38.0	0.00422387217	35.19893475	0.91497403	1.8334
20	14:34:47.386350	40.0	0.00439360065	36.61333875	1.0388971	1.8367
21	14:34:57.428320	42.0	0.00451822798	37.65189983333333	1.1731561	1.8357
22	14:35:07.468852	44.0	0.0046280422	38.56701833333333	1.3904045	1.8345
23	14:35:17.509537	46.0	0.00468410731	39.03422758333333	1.5428074	1.8343
24	14:35:27.552736	48.0	0.00470065425	39.17211875	1.8016768	1.8312
25	14:35:37.590608	50.0	0.00466153058	38.84608816666667	2.0865621	1.8323
26	14:35:47.627026	52.0	0.00459026966	38.25224716666666	2.4635483	1.8305
27	14:35:57.663267	54.0	0.00452468941	37.70574508333333	2.833622	1.8308
28	14:36:07.699378	56.0	0.00676650202	56.38751683333333	1.9411469	1.8310
29	14:36:17.735891	58.0	0.0072481692	60.40141	1.8040145	1.8310
30	14:36:27.773332	60.0	0.007059628	58.83023333333333	1.0182948	1.8316
