Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	19:45:40.070933	0.0	7.83140767e-07	0.0065261730583333335	-7.8822e-05	0.6373
1	19:45:41.713222	0.5	8.16294668e-07	0.0068024555666666665	-7.9199e-05	0.6365
2	19:45:43.355916	1.0	-1.82705565e-05	-0.15225463749999998	0.002891077	0.6357
3	19:45:44.997535	1.5	-4.97928186e-05	-0.414940155	0.008325687	0.6349
4	19:45:46.640921	2.0	-7.87495157e-05	-0.6562459641666666	0.0133874	0.6368
5	19:45:48.284099	2.5	-0.000107540394	-0.89616995	0.018363765	0.6355
6	19:45:49.928101	3.0	-0.000137269462	-1.1439121833333332	0.023524762	0.6364
7	19:45:51.572406	3.5	-0.000165534504	-1.3794541999999999	0.028444773	0.6360
8	19:45:53.214689	4.0	-0.000203196709	-1.6933059083333333	0.034872455	0.6345
9	19:45:54.855764	4.5	-0.000224262288	-1.8688524	0.039739627	0.6345
10	19:45:56.521466	5.0	-0.000224296942	-1.8691411833333333	0.039736614	0.6398
11	19:45:58.162452	5.5	-0.000224262241	-1.868852008333333	0.039732096	0.6348
12	19:45:59.803414	6.0	-0.000224333732	-1.8694477666666667	0.03972946	0.6350
13	19:46:01.469344	6.5	-0.000224290389	-1.8690865749999999	0.039725193	0.6376
14	19:46:03.113307	7.0	-0.000224351621	-1.8695968416666666	0.039724565	0.6368
15	19:46:04.752911	7.5	-0.000224336274	-1.86946895	0.039721678	0.6329
16	19:46:06.394037	8.0	-0.000224325964	-1.8693830333333332	0.039718666	0.6356
17	19:46:08.034282	8.5	-0.000224315193	-1.869293275	0.039717034	0.6334
18	19:46:09.677680	9.0	-0.000224305165	-1.8692097083333332	0.039714273	0.6374
19	19:46:11.321209	9.5	-0.000224334922	-1.8694576833333332	0.039711763	0.6369
20	19:46:12.964868	10.0	-0.000224326946	-1.8693912166666666	0.039711386	0.6363
21	19:46:14.608979	10.5	-0.000224335128	-1.8694593999999998	0.039705362	0.6375
22	19:46:16.250336	11.0	-0.000224318191	-1.8693182583333334	0.039703353	0.6346
23	19:46:17.893015	11.5	-0.000224335964	-1.8694663666666667	0.039703102	0.6351
24	19:46:19.531333	12.0	-0.000224310362	-1.8692530166666665	0.039708499	0.6322
25	19:46:21.173676	12.5	-0.000224321827	-1.8693485583333334	0.039711763	0.6362
26	19:46:22.815052	13.0	-0.000224345001	-1.869541675	0.03971465	0.6348
27	19:46:24.459056	13.5	-0.000224320862	-1.8693405166666666	0.039715403	0.6377
28	19:46:26.105840	14.0	-0.000224267239	-1.8688936583333333	0.039715779	0.6404
29	19:46:27.747116	14.5	-0.000224332314	-1.86943595	0.039713018	0.6348
30	19:46:29.386037	15.0	-0.000224299928	-1.8691660666666665	0.039710257	0.6333
31	19:46:31.027082	15.5	-0.000224295027	-1.8691252250000001	0.03970988	0.6342
32	19:46:32.665929	16.0	-0.00022429147	-1.8690955833333331	0.039706366	0.6326
33	19:46:34.315821	16.5	-0.000224342335	-1.8695194583333332	0.039700843	0.6339
34	19:46:35.954420	17.0	-0.000220504587	-1.8375382249999999	0.040574921	0.6324
35	19:46:37.594428	17.5	-0.000220457658	-1.8371471499999998	0.040648598	0.6350
36	19:46:39.236172	18.0	-0.000220797068	-1.8399755666666666	0.040572537	0.6348
37	19:46:40.878636	18.5	-0.000221474021	-1.8456168416666667	0.040417653	0.6357
38	19:46:42.517557	19.0	-0.000221972577	-1.8497714749999998	0.040323016	0.6328
39	19:46:44.159262	19.5	-0.000222113275	-1.8509439583333334	0.04030331	0.6356
40	19:46:45.802247	20.0	-0.000222150324	-1.8512527	0.040287747	0.6363
41	19:46:47.443783	20.5	-0.00022221939	-1.8518282499999998	0.040277078	0.6352
42	19:46:49.086046	21.0	-0.000222212774	-1.8517731166666667	0.040274066	0.6354
43	19:46:50.729281	21.5	-0.000222327124	-1.8527260333333333	0.040249967	0.6353
44	19:46:52.372738	22.0	-0.000222366245	-1.8530520416666665	0.040235533	0.6368
45	19:46:54.012633	22.5	-0.000222395239	-1.8532936583333333	0.040237165	0.6334
46	19:46:55.652462	23.0	-0.000222419116	-1.8534926333333335	0.040225994	0.6326
47	19:46:57.289100	23.5	-0.000222420997	-1.8535083083333332	0.040228881	0.6318
48	19:46:58.926503	24.0	-0.000222535107	-1.854459225	0.0402029	0.6317
49	19:47:00.563717	24.5	-0.000222498621	-1.8541551749999998	0.040214196	0.6313
50	19:47:02.205324	25.0	-0.000222522605	-1.8543550416666665	0.04022499	0.6357
51	19:47:03.842562	25.5	-0.000222545825	-1.8545485416666667	0.040226371	0.6316
52	19:47:05.483756	26.0	-0.000222588692	-1.8549057666666666	0.040211937	0.6355
53	19:47:07.125401	26.5	-0.00022256614	-1.8547178333333334	0.040213192	0.6344
54	19:47:08.785110	27.0	-0.000222558836	-1.8546569666666666	0.040214823	0.6519
