Iteracao	Timestamp	Corrente_Set (A)	NanoVolt (V)	Corrente_Calculada (A)	Agilent (V)	Tempo_Ciclo (s)
0	17:12:27.211019	0.0	-4.93024954e-07	-0.004108541283333333	-8.2337e-05	1.0374
1	17:12:33.253507	1.0	5.5348153e-05	0.4612346083333333	0.008447061	1.0359
2	17:12:39.299340	2.0	0.000142506453	1.187553775	0.022053241	1.0396
3	17:12:45.362765	3.0	0.000231648294	1.93040245	0.035981496	1.0577
4	17:12:51.424327	4.0	0.000318963148	2.6580262333333335	0.04950322	1.0553
5	17:12:57.470083	5.0	0.000419642315	3.4970192916666667	0.065281061	1.0397
6	17:13:03.545322	6.0	0.000518022509	4.316854241666666	0.080775374	1.0691
7	17:13:09.603451	7.0	0.000595112505	4.959270875	0.092748768	1.0483
8	17:13:15.663876	8.0	0.000683444454	5.6953704499999995	0.10666938	1.0546
9	17:13:21.713483	9.0	0.000759065756	6.325547966666666	0.11884963	1.0426
10	17:13:27.811241	10.0	0.000885258108	7.377150899999999	0.14739818	1.0629
